AFE
AFW
ALB
ALG
ARA
ARG
ARM
AUL
AUT
AZE
BAN
BEL
BLR
BOS
BRA
BUF
BUL
CAN
CHI
CHL
COL
CRO
CZE
DEN
DOM
EGY
EST
ETH
FIN
FRA
GBR
GEO
GER
GRE
HOK
HUN
ICE
IDO
IND
IRA
IRE
IRQ
ITA
JOR
JPN
KOR
LAT
LIT
LUX
MAC
MAL
MEX
MLT
MNG
MOL
MOR
NET
NIG
NOR
NZL
PAK
PER
PHI
POL
POR
PUE
ROM
RUS
SAF
SAL
SAU
SER
SIN
SLK
SLV
SPA
SWE
SWI
TAI
TAN
THA
TRI
TUR
UKR
URU
USA
VEN
VIE
ZAM
